score	repo	issue	source	author	url	title	context
262	EarendelDevelopers/factorio-mods	385	issue-body	Nogloon	https://github.com/user-attachments/files/24435949/Modlist.Test.zip	Unable to generate Asteroid belt	"""518"" height=""551"" alt=""Image"" src=""https://github.com/user-attachments/assets/a2903bb2-1a09-402f-8828-d8c17e81fe7e"" /> [factorio-current.log](https://github.com/user-attachments/files/24435879/factorio-current.log) [Modlist Test World](https://github.com/user-attachments/files/24435949/Modlist.Test.zip)"
262	notnotmelon/factorissimo-2-notnotmelon	265	issue-body	holtstan	https://github.com/user-attachments/files/24725768/2026.Mega.Base.zip	When I try to place a Factory the game crashes	" game **Screenshots** <img width=""466"" height=""466"" alt=""Image"" src=""https://github.com/user-attachments/assets/4988aa9c-94a5-4feb-aa54-82016adca23c"" /> **Additional context** Not that I know of. **Save file & log** [2026 Mega Base.zip](https://github.com/user-attachments/files/24725768/2026.Mega.Base.zip) [factorio-current.log](https://github.com/user-attachments/files/24725770/factorio-current.log) **Help wanted?** - [ ] I am familiar with programming and will submit a pull request to resolve this issue. (Note: Please do not use AI coding"
262	notnotmelon/factorissimo-2-notnotmelon	272	issue-body	WarlordFTW	https://github.com/user-attachments/files/25904644/py_gridlocked.1.4.zip	Connection research not respected	tory building down 4. Form pipe connection before researching relevant tech 5. Watch your world burn! **Expected behavior** I expect a valid connection to form only once the tech is researched **Save file & log** [py_gridlocked 1.4.zip](https://github.com/user-attachments/files/25904644/py_gridlocked.1.4.zip) [factorio-current.log](https://github.com/user-attachments/files/25904661/factorio-current.log) **Help wanted?** - [ ] I am familiar with programming and will submit a pull request to resolve this issue. (Note: Please do not use AI codin
262	notnotmelon/factorissimo-2-notnotmelon	273	issue-body	Maxward428	https://github.com/user-attachments/files/26100492/FactorissimoConflictReport.zip	Conflict with Everything on Nauvis	 Patch to see if they can do anything about this. Error starts on line 136 in the log. I commented out line 273 in script/factory-buildings.lua as a temporary fix and it seems to work. **Save file & log** [FactorissimoConflictReport.zip](https://github.com/user-attachments/files/26100492/FactorissimoConflictReport.zip) [factorio-current.log](https://github.com/user-attachments/files/26100516/factorio-current.log) **Help wanted?** - [ ] I am familiar with programming and will submit a pull request to resolve this issue. (Note: Please do not use AI codin
262	notnotmelon/factorissimo-2-notnotmelon	276	issue-body	daniel-hoefer	https://github.com/user-attachments/files/26480869/bugreport-aquilo-floor.zip	Aquilo factories concrete floor can be removed, revealing Nauvis ocean	"placement. **Screenshots** <img width=""1920"" height=""1200"" alt=""Image"" src=""https://github.com/user-attachments/assets/c40b7eff-3b89-4ec2-8c21-9b4be746f1b2"" /> **Additional context** none **Save file & log** [bugreport-aquilo-floor.zip](https://github.com/user-attachments/files/26480869/bugreport-aquilo-floor.zip) [factorio-current.log](https://github.com/user-attachments/files/26480871/factorio-current.log) **Help wanted?** - [ ] I am familiar with programming and will submit a pull request to resolve this issue. (Note: Please do not use AI codin"
262	notnotmelon/factorissimo-2-notnotmelon	279	issue-body	TakingItCasual	https://github.com/user-attachments/files/28420497/nullius1.zip	Mod recipes disappeared from crafting options.	e with just Nullius and Factorissimo, didn't fix. Running the following command to reset tech recipes fixes problem, but thought I should still report: `/c game.player.force.reset_technology_effects()` **Save file & log** [nullius1.zip](https://github.com/user-attachments/files/28420497/nullius1.zip) [factorio-current.log](https://github.com/user-attachments/files/28420514/factorio-current.log) **Help wanted?** - [ ] I am familiar with programming and will submit a pull request to resolve this issue. (Note: Please do not use AI codin
262	hgschmie/factorio-LogisticTrainNetwork	67	issue-body	wildd0g	https://www.dropbox.com/scl/fi/r98pdtk1pfg3njuy5nv93/LTN_no_fluid_space_elevator_example.zip?rlkey=khuw0052mkxpz6ok48iauue6s&dl=0	Fluid trains don't make space elevator stops due to fluid_name/fluidIdentifier conflict	a depot and fluid provider station on 1 surface with a space elevator. Create a fluid requister station on the other side of the space elevator. Advanced cross surface delivery off **LTN version** 2.8.0 I've made a minimal example world: https://www.dropbox.com/scl/fi/r98pdtk1pfg3njuy5nv93/LTN_no_fluid_space_elevator_example.zip?rlkey=khuw0052mkxpz6ok48iauue6s&dl=0 Just enable the dispatcher, and you will see it. I've also captured the logfile at debug level 9 for that world, having the dispatcher enabled for 1 cycle: https://www.dropbox.com/scl/fi/q2r123etyb94lpykduukj/factorio-current.log?rlkey=ir
250	notnotmelon/factorissimo-2-notnotmelon	195	issue-body	lucianfallen	https://github.com/user-attachments/files/20024007/1.zip	Can't get inside new placed factories	ps://github.com/user-attachments/files/20024009/_autosave1.zip) [_autosave2.zip](https://github.com/user-attachments/files/20024008/_autosave2.zip) [_autosave3.zip](https://github.com/user-attachments/files/20024006/_autosave3.zip) [1.zip](https://github.com/user-attachments/files/20024007/1.zip) 
250	notnotmelon/factorissimo-2-notnotmelon	206	comment-4587565111	smartel99	https://github.com/user-attachments/files/28441847/seablcok.zip	Fluid connections stop working	"ing maps. <img width=""673"" height=""522"" alt=""Image"" src=""https://github.com/user-attachments/assets/7ea33f32-2549-4310-8634-9e08b750a4bf"" /> Removing the fix allows the map to load properly. Here attached is the savefile [seablcok.zip](https://github.com/user-attachments/files/28441847/seablcok.zip) "
250	Yafc-CE/yafc-ce	507	issue-body	Edlermordo	https://github.com/user-attachments/files/21559231/New.Game.zip	"Space Exploration ""item with same key has already been added"")"	 well as the stuff that was requested on Github. Heres my mod list: Factorio says all mods are up to date: [mod-list.json](https://github.com/user-attachments/files/21559225/mod-list.json) Heres the gamesave as requested: [New Game.zip](https://github.com/user-attachments/files/21559231/New.Game.zip) If something misses I will try to add it as soon as possible. Thanks for your help in extend ^^ 
